Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
ECOPLANTA (Tarragona),1146,Spain,"ECOPLANTA MOLECULAR RECYCLING
SOLUTIONS S.L",CCU,2021,,2027,,Planned,,0.34,0.34,Power and heat,Use,,Europe
Edmonton Blue Hydrogen plant (ALB),135,Canada,"Mitsubishi Corporation, Shell Canada",Capture,2021,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Atlas Carbon Sequestration Hub (ALB),North America
Edmonton Varme facility (ALB),1075,Canada,"Varme Energy, City of Edmonton",Capture,2024,,2027,,Planned,,,,Power and heat,Unknown/unspecified,,North America
El Camino (LA),876,United States,"Shell US Power and Gas LLC, Geo Stock Sandia LLC ",Storage,2022,,,,Planned,,1.5,1.5,Storage,Unknown/unspecified,,North America
Elmworth Gas Plant,1120,Canada,Cenovus,Capture,2023,,,,Planned,,,,Other fuel transformation,Unknown/unspecified,,North America
Emerge CCS,1105,United Kingdom,"Uniper, Fortum",Capture,2021,,,,Planned,,,,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Emirates Steel Industries (Abu Dhabi CCS Phase 1),4,United Arab Emirates,"ADNOC, Masdar",Full chain,2007,2012,2016,,Operational,,0.8,0.8,Iron and steel,EOR,,Middle East
EM-Rhone,1094,France,"Elyse Energy, Holcim, Air Liquide",CCU,2023,2025,2028,,Planned,,0.195,0.195,Cement,Use,,Europe
Enbridge Ingleside Energy Center Low carbon ammonia (TX),136,United States,"Enbridge, Yara",Capture,2022,,2028,,Planned,,,,Hydrogen or ammonia,Dedicated storage,Corpus Christi CO2 pipeline (TX)/BlueBonnet sequestration hub (TX),North America
ENEOS MOL JX CO2 shipping,1070,Japan-Australia,"ENEOS Corporation, JX Nippon Oil & Gas Exploration Corporation, Electric Power Development Co.,Ltd. (J-POWER)",T&S,2023,,2030,,Planned,,,,T&S,Dedicated storage,Northern to Western Kyushu Offshore CCS,Other Asia Pacific
Energean CO2 storage and hydrogen plant,138,Greece,Energean Plc,Capture,2021,,2025,,Planned,,2.5,2.5,Hydrogen or ammonia,Dedicated storage,Prinos CO2 storage,Europe
Energy Recovery Facility Edmonton EcoPark,583,United Kingdom,North London Waste Authority (NLWA),Capture,2020,,,,Planned,,,,Power and heat,Dedicated storage,Bacton Thames Net Zero Initiative,Europe
Enhance Clive Sequestration Facility (ACTL) (ALB),94,Canada,Enhance Energy,Storage,2011,2018,2020,,Operational,,1.1 - 1.5,1.1,Storage,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
ENI Ravenna power plant,142,Italy,Eni,Capture,2020,,2027,,Planned,1,0.8,0.8,Power and heat,Dedicated storage,Ravenna CCS,Europe
ENI Venice bio-refinery Porto Marghera,143,Italy,Eni,Capture,2020,,2027,,Planned,,0.2,0.2,Other fuel transformation,Dedicated storage,Ravenna CCS,Europe
Enid fertiliser (OK),144,United States,"Koch Nitrogen Company, Daylight Petroleum",Full chain,1982,,1982,,Operational,,0.68,0.68,Chemicals,EOR,,North America
EnLink midstream network (LA),495,United States,EnLink Midstream,Transport,2022,,2025,,Planned,,2,2,Transport,Dedicated storage,Enlink midstream network (LA),North America
Enquest CCS Project ,849,United Kingdom,Enquest CCS Ltd,Storage,2023,,,,Planned,,10,10,Storage,Dedicated storage,,Europe
Equinor Mongstad refinery,1082,Norway,"Equinor, Aker Solutions",Capture,2024,,,,Planned,,,,Other fuel transformation,Dedicated storage,,Europe
Equinor Smeaheia storage phase 1 (start up phase),841,Norway,Equinor,T&S,2022,,2028,,Planned,1,5,5,T&S,Dedicated storage,Wilhelmshaven/Smeahia,Europe
Equinor Smeaheia storage phase 2,676,Norway,Equinor,T&S,2022,,2035,,Planned,2,24,24,T&S,Dedicated storage,Wilhelmshaven/Smeahia,Europe
Eramet Sauda,1111,Norway,Eramet Norway,Capture,2023,,2030,,Planned,,0.26,0.26,Iron and steel,Dedicated storage,,Europe
Ervia Cork CCS -  Aghada CCGT,145,Ireland,"Aghata, Ervia Cork",Capture,2018,,2028,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS,Europe
Ervia Cork CCS - Irving refinery,146,Ireland,"Irving Oil, Ervia Cork",Capture,2018,,2028,,Planned,,2.5,2.5,Other fuel transformation,Unknown/unspecified,Ervia Cork CCS,Europe
Ervia Cork CCS - Whitegate CCGT,147,Ireland,"Whitegate, Ervia Cork",Capture,2018,,2028,,Planned,,,,Power and heat,Unknown/unspecified,Ervia Cork CCS,Europe
EU2NSEA,661,Norway,Equinor and partners (incl. Heidelberg Materials),Transport,2022,,2029,,Planned,,20,20,Transport,Dedicated storage,EU2NSEA,Europe
Everest,1093,Germany,"Lhoist, Air Liquide",Capture,2023,,2029,,Planned,,1,1,Cement,Dedicated storage,,Europe
Exshaw Cement Carbon Capture (ALB),605,Canada,Lafarge Canada (Holcim group),Capture,2022,2026,2030,,Planned,,1,1,Cement,Dedicated storage,,North America
Exxonmobil Antwerp Refinery CCS,149,Belgium,Exxonmobil,Capture,2021,2024,2030,,Planned,,,,Other fuel transformation,Unknown/unspecified,,Europe
ExxonMobil Baytown petrochemical site (TX),148,United States,"ExxonMobil, Honeywell (tech), Technip Energies (FEED)",Capture,2022,2024,2028,,Planned,,7,7,Other fuel transformation,Dedicated storage,Houston CCS Hub,North America
ExxonMobil Fawley refinery,151,United Kingdom,"ExxonMobil (UK affilIate Esso), SGN, Macquarie",Capture,2021,,2030,,Planned,,2,2,Other fuel transformation,Dedicated storage,,Europe
ExxonMobil Vermilion parish storage: Pecan island (LA),806,United States,ExxonMobil,Storage,2022,,2026,,Planned,,5,5,Storage,Dedicated storage,ExxonMobil Vermilion parish storage: Pecan island (LA),North America
Ferrybridge EfW,773,United Kingdom,"Enfinium, Navigator CO2, Bechtel (feasibility)",Capture,2023,,2030,,Planned,,1.2,1.2,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe
Fidelis Project Cyclus Baton Rouge (LA),152,United States,"Fidelis new energy  (Cyclus Steam & Power, Gron Fuels, Capio Sequestration)",Full chain,2022,,2032,,Planned,,1,1,Power and heat,Dedicated storage,,North America
Fife ethylene plant,1017,United Kingdom,"ExxonMobil, (Shell?)",Capture,2021,,,,Planned,,,,Chemicals,Dedicated storage,Acorn CCS,Europe
Filbornaverket plant Helsingborg,968,Sweden," Öresundskraft, Capsol Technologies (tech provider)",Capture,2022,2025,2029,,Planned,,,,Power and heat,Unknown/unspecified,,Europe
Filer City Station plant (MI),909,United States,"CMS Enterprises Co, Babcock & Wilcox (feasbility study), NorthStar Clean Energy, Tondu Corp",Full Chain,2023,,,,Planned,,,,Power and heat,Unknown/unspecified,,North America
FlagshipTHREE Umea Dava plant,990,Sweden,"Liquid Wind, Umea Energi",CCU,2023,2024,2026,,Planned,,,0.136,Power and heat,Use,,Europe
FlagshipTWO Sundsvall Korsta plant,988,Sweden,"Liquid Wind, Sundsvall Energi",CCU,2023,,2026,,Planned,,,0.177,Power and heat,Use,,Europe
Fluxys Tournai-Zeebrugge,766,Belgium,"Fluxys, Heidelberg Materials",Transport,2023,,,,Planned,,,,Transport,Dedicated storage,Fluxys Tournai-Zeebrugge,Europe
Fluxys-Equinor Belgium-Norway Trunk Line ,447,Belgium-Norway,"Fluxys, Equinor, Heidelberg Materials",Transport,2022,2025,2030,,Planned,,20 - 40,40,Transport,Dedicated storage,German Carbon Grid,Europe
Fortum waste solutions Nyborg,779,Denmark,"Fortum waste solutions, Aker CC (feasibility)",Capture,2023,,,,Planned,,0.17,0.17,Power and heat,Dedicated storage,,Europe
Four corners carbon storage hub (NM),981,United States,New Mexico Institute of Mining and Technology,Storage,2023,,,,Planned,,,8,Storage,Dedicated storage,Four corners carbon storage hub (NM),North America
Four Corners Power Plant Integrated Carbon Capture and Storage (NM),1131,United States,"Navajo Transitional Energy Company, LLC (NTEC), DOE Office of Clean Energy Demonstrations",Full chain,2023,,,,Planned,,10,10,Power and heat,Dedicated storage,,North America
Freeport LNG CCS (TX),154,United States,"Talos Energy, Freeport LNG, Storegga",Full chain,2021,,2024,,Planned,,,,Natural gas processing/LNG,Dedicated storage,,North America
Frevar KF / Kvitebjorn BIO-EL (Borg CO2) (2 facilities),155,Norway,"Borg Havn, Kvitebjørn Bio-El and FREVAR",Capture,2019,,2035,,Planned,,0.12,0.12,Power and heat,Dedicated storage,Northern Lights,Europe
FS Lucas do Rio Verde ethanol biorefinery complex,157,Brazil,"Summit Agricultural group, Tapajós Participações S.A, FS Bioenergy, Schlumberger (Storage studies)",Full chain,2021,,2030,,Planned,,0.423,0.423,Biofuels,Dedicated storage,,Central and South America
Future Biogas plants phase 1,158,United Kingdom,Future Biogas,Capture,2021,,2024,,Planned,1,0.2,0.2,Biofuels,Dedicated storage,Northern Lights,Europe
Future Biogas plants phase 2,159,United Kingdom,Future Biogas,Capture,2021,,2028,,Planned,2,0.345,0.345,Biofuels,Dedicated storage,Northern Lights,Europe
G2 Net-Zero (LA),160,United States,"Net Power, Siemens, EJM",Capture,2020,,2027,,Planned,,4,4,Natural gas processing/LNG,Unknown/unspecified,,North America
Gärstaverket plant Linkoping,1087,Sweden,"Teniska Verken, Capsol Technologies (feasibility)",Capture,2024,,,,Planned,,0.25,0.25,Power and heat,Unknown/unspecified,,Europe
Gas power CCUS MoU,857,Indonesia,"GE Vernova, CARBONCO, BP, PLN Nusantara (Jawa 1)",Capture,2023,,,,Planned,,,,Power and heat,Dedicated storage,,Other Asia Pacific
Gassum storage/Fyrkat network (Norne carbon storage hub),670,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy",Storage,2022,,2026,,Planned,1,2.6,2.6,Storage,Dedicated storage,Norne carbon storage hub,Europe
Gemah field EOR,764,Indonesia,"Petrochina (Daqing Petroleum Services), PT Gemilang Buana Utama",Storage,2022,2025,2031,,Planned,1,,,Storage,EOR,,Other Asia Pacific
Gemini (formerly Denbury Ascension Parish sequestration) (LA),477,United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,,2026,,Planned,,10 - 20,10,Storage,Dedicated storage,Gemini (LA),North America
Genesee CCS (ALB),162,Canada,"Capital Power, Enbridge (T&S provider)",Capture,2021,2024,2027,,Planned,,3,3,Power and heat,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Geothermal CCS Croatia,684,Croatia,Hydrocarbons Agency Croatia,T&S,2022,2025,2031,,Planned,,0.63,0.63,T&S,Dedicated storage,Geothermal CCS Croatia,Europe
Geovault Carnarvon Basin CCS assessment,630,Australia,Buru Energy (Geovault) and Energy Resources Ltd,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,,Australia and New Zealand
Gerald Gentleman Station Carbon Capture (NE),163,United States,"ION Engineering, Nebraska Public Power District, Siemens, Koch Modular, Sargent & Lundy",Capture,2013,,2025,,Planned,,3.8,3.8,Power and heat,EOR,,North America
German carbon transport grid,675,Germany,"Open Grid Europe (OGE), TES",Transport,2022,2024,2028,,Planned,,18.8 - 25.8,25.8,Transport,Dedicated storage,German Carbon transport grid,Europe
Getica CCS - Turceni power plant,733,Romania,"ISPE (feasibility), Alstom (feasibility) Oltenia, Transgaz",Capture,2010,,,,Planned,,1.3,1.3,Power and heat,Dedicated storage,,Europe
GeZero carbon capture project (Geseke),1012,Germany,"Heidelberg Materials, Wintershall Dea (T&S)",Capture,2023,2026,2029,,Planned,,0.76,0.76,Cement,Dedicated storage,CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Europe
Ghent Carbon Hub,532,Belgium,"Fluxys, ArcelorMittal, North Sea Port",Transport,2022,,2027,,Planned,,6,6,Transport,Dedicated storage,,Europe
Gismarvik CO2 hub,917,Norway,"Horisont Energi, EON",Transport,2023,,2028,,Planned,,20 - 24,24,Transport,Dedicated storage,Gismarvik CO2 hub/Errai project,Europe
Glacial Lakes Energy Aberdeen biorefinery (SD),166,United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.12 - 0.14,0.14,Biofuels,Dedicated storage,Midwest carbon express,North America
Glacial Lakes Energy Mina biorefinery (SD),168,United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.34 - 0.4,0.4,Biofuels,Dedicated storage,Midwest carbon express,North America
Glacial Lakes Energy Watertown biorefinery (SD),169,United States,"Glacial Lakes Energy, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.32 - 0.37,0.372,Biofuels,Dedicated storage,Midwest carbon express,North America
Glacier Gas Plant CCS full capacity (ALB),171,Canada," Entropy Inc. ABC Engineering, University of Regina",Full chain,2021,2023,2024,,Under construction,1,0.2,0.2,Natural gas processing/LNG,Dedicated storage,,North America
Global thermostat headquarters plant (CO),437,United States,Global Thermostat,Capture,,,2023,,Operational,,0.001,0.001,DAC,Unknown/unspecified,,North America
Go4ECOPlant Lafarge Polska Kujawy plant,565,Poland,"Lafarge Cement Polska (Holcim Group), Air Liquide, Protech Sp. z o. o. (FEED)",Capture,2022,,2027,,Planned,,1.02,1.02,Cement,Dedicated storage,ECO2CEE,Europe
GO4ZERO Oburg cement plant,557,Belgium,"Holcim Group, TotalEnergies, Air Liquide",Capture,2022,,2028,,Planned,,1.1,1.1,Cement,Dedicated storage,Antwerp@C,Europe
Golden Grain Energy Mason City biorefinery (IA),172,United States,"Golden Grain Energy, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.29 - 0.34,0.343,Biofuels,Dedicated storage,Midwest carbon express,North America
Gonfreville Raffinerie,392,France,"TotalEnergies, Air Liquide",Capture,2021,,2030,,Planned,,0.65,0.65,Other fuel transformation,Unknown/unspecified,,Europe
Goose Lake (LA),874,United States,Gulf Coast Sequestration ,Storage,2022,,,,Planned,,,,Storage,Unknown/unspecified,Gulf Coast Sequestration Hub(LA),North America
Gorgon CCS,173,Australia,"Chevron (47.3 per cent, operator), Shell (25 per cent), ExxonMobil (25 per cent), Osaka Gas (1.25 per cent), Tokyo Gas (1 per cent), Chubu Electric Power (0.417 per cent)",Full chain,2009,2009,2019,,Operational,,3.4 - 4,4,Natural gas processing/LNG,Dedicated storage,,Australia and New Zealand
Grain CCGT power station,568,United Kingdom,"Uniper, Technip Energies (PDP), Aker CC (PDP), Oilex",Capture,2022,,,,Planned,,2,2,Power and heat,Dedicated storage,Acorn Isle of Grain to Peterhead shipping/Acorn CCS,Europe
Grand Ouest CO2 (GOCO₂) transport,1114,France,"Grand Ouest, GRT Gaz, Heidelberg Materials, Elengy, Lafarge, Lhoist, TotalEnergies",Transport,2023,2027,2030,,Planned,,2.6,2.6,Transport,Dedicated storage,GoCO2,Europe
Grande Prairie Net Zero Gateway (ALB),502,Canada," Keyera Corp.,  Entropy Inc., NorthRiver Midstream",Storage,2022,,,,Planned,,3.3,3.3,Storage,Dedicated storage,"Grande Prairie Net Zero Gateway, NorthRiver Midstream Inc. (ALB)",North America
Grandpuits biorefinery,581,France,"Air Liquide, TotalEnergies",CCU,2022,2022,2025,,Under construction,,0.11,0.11,Other fuel transformation,Use,,Europe
Granite Falls biorefinery (MN),175,United States,"Granite Falls Energy, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.15 - 0.18,0.18,Biofuels,Dedicated storage,Midwest carbon express,North America
Great Carbon Valley DAC,838,Kenya,"Climeworks, Great Carbon Valley",Full chain,2023,,,,Planned,,1,1,DAC,Dedicated storage,,Africa
Great Plains Synfuel Plant (ND) Weyburn-Midale (SK),176,United States,"Dakota Gasification company, Cenovus, Whitecap, Cardinal",Full chain,1997,,2000,,Operational,1,3,3,Other fuel transformation,EOR,Weyburn storage unit,North America
Great Plains Synfuel Plant to sequestration (ND),1058,United States,Dakota Gasification company,Full chain,2021,,,,Planned,2,1.5 - 2.13,1.5,Other fuel transformation,Dedicated storage,,North America
Green Plains Atkinson biorefinery (NE),177,United States,"Green Plains Atkinson, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.14 - 0.16,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Central City biorefinery (NE),178,United States,"Green Plains Central City, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.3 - 0.33,0.332,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Fairmont biorefinery (MN),179,United States,"Green Plains Fairmont, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.3 - 0.34,0.343,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Otter Tail biorefinery (MN),180,United States,"Green Plains Otter Tail, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.172,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Shenandoah biorefinery (MN),181,United States,"Green Plains Shenandoah, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.21 - 0.24,0.235,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Superior biorefinery (IA),182,United States,"Green Plains Superior, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.15 - 0.17,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains Wood River biorefinery (NE),183,United States,"Green Plains Wood River, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.31 - 0.35,0.346,Biofuels,Dedicated storage,Midwest carbon express,North America
Green Plains York biorefinery (NE),184,United States,"Green Plains York, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.13 - 0.14,0.143,Biofuels,Dedicated storage,Midwest carbon express,North America
GreenCem,728,Denmark,"Aalborg Portland, Aalborg University, DFDS, Aalborg Energi Holding, Port of Aalborg, REintegrate, RenoNord and Hydrogen Valley",Capture,2021,,2030,,Planned,,0.4,0.4,Cement,Dedicated storage,Norne carbon storage hub,Europe
GreenGen Huaneng IGCC Project Phase III (Tianjin),186,People's Republic of China,Huaneng,Full chain,2011,,2030,,Planned,1,2,2,Power and heat,Unknown/unspecified,,Other Asia Pacific
Greenview Region CCS Project (ALB),503,Canada, ARC Resources Ltd. ,Storage,2022,,,,Planned,,,,Storage,Dedicated storage,Greenview Region CCS Project (ALB),North America
GRTGaz CO2 backbone,1139,France,GRTGaz,Transport,2023,,2028,,Planned,,5,5,Transport,Dedicated storage,,Europe
Guanghui Energy CCUS integration project Phase 1 (Xinjiang),642,People's Republic of China,"Guanghui Energy CO., Ltd, China Kunlun Engineering  (EPC)",Full chain,2021,2022,2023,,Operational,,0.1,0.1,Chemicals,EOR,,Other Asia Pacific
Gulf Coast Hydrogen Hub HyVelocity (TX),923,United States,"GTI Energy, AES Corporation, Air Liquide, Chevron, Mitsubishi Power Americas, Chevron, Orsetd, Shell, Sempra Infrastructure ",Capture,2023,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
Gulf Coast Sequestration Hub Lake Charles (LA),579,United States,Gulf Coast Sequestration ,Storage,2020,,2030,,Planned,,2.7,2.7,Storage,Dedicated storage,Gulf Coast Sequestration Hub(LA),North America
Gundih CCUS EGR,187,Indonesia,"Pertamina, ITB, JGC, J-Power, JANUS (supported by METI Japan)",Full chain,2020,,2030,,Planned,,0.3,0.3,Natural gas processing/LNG,EOR,,Other Asia Pacific
Gwangyang LNG terminal blue hydrogen,1066,South Korea,"POSCO, ADNOC",Capture,2024,,2029,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
H21 Leeds City Gate - Teesside hydrogen,188,United Kingdom,Northern Gas Networks,Capture,2014,,2035,,Planned,,1.5,1.5,Hydrogen or ammonia,Dedicated storage,,Europe
H2BE,190,Belgium,"Equinor, Engie",Capture,2021,,2028,,Planned,,1.8,1.8,Hydrogen or ammonia,Dedicated storage,,Europe
H2-gateway,819,Netherlands,"NHN, Gasterra, Gasunie, Port den Helder",Full chain,2020,,2027,,Planned,,,1.8,Hydrogen or ammonia,Dedicated storage,,Europe
H2GE Rostock,455,Germany,"Equinor, VNG",Capture,2022,,2029,,Planned,,1.8,1.8,Hydrogen or ammonia,Dedicated storage,Northern Lights,Europe
H2NorthEast Phase 1,193,United Kingdom,"Kellas Midstream, SSE Thermal (50%),Worley (FEED)",Capture,2021,2025,2028,,Planned,,,0.869,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
H2NorthEast Phase 2,194,United Kingdom,"Kellas Midstream, SSE Thermal (50%)",Capture,2021,,2030,,Planned,,,1.578,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe
H2Perth Woodside,195,Australia,"Woodside, McDermott (pre-FEED)",Full chain,2021,2024,2025,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Australia and New Zealand
Habshan-Bab gas plant (Abu Dhabi CCS Phase 2),5,United Arab Emirates,"ADNOC, Petrofac (EPC)",Full chain,2020,2023,2026,,Under construction,,1.5,1.5,Natural gas processing/LNG,EOR,,Middle East
Hackberry Carbon Sequestration (HCS) project at Cameron LNG (LA),198,United States,"TotalEnergies, Sempra Infrastructure, Mitsui, and Mitsubishi",Full chain,2022,,,,Planned,,2,2,Natural gas processing/LNG,Dedicated storage,,North America
Hail and Gasha CO2 Management,161,United Arab Emirates,"ADNOC (70%), Eni (10% - Only CO2 capture), Wintershall Dea (10%), OMV (5%), Lukoil (5%)",Full chain,2021,2023,2028,,Under construction,,1.5,1.5,Natural gas processing/LNG,Dedicated storage,,Middle East
Hanson Padeswood Cement Works CCS,303,United Kingdom,"Heidelberg Materials, Hanson, Mitsubishi HI (pre-FEED/FEED), Worley (FEED)",Capture,2021,2024,2028,,Planned,,0.8,0.8,Cement,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe
Harvest Bend CCS White Castle (LA),888,United States,"Harvest Bend CCS LLC (Talos Energy, Enlink Midsteram, Storegga) ",Storage,2022,,,,Planned,,5,5,Storage,Unknown/unspecified,Harvest Bend (LA),North America
Havnso storage/Trelleborg network (Norne carbon storage hub),671,Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), Ross Energy",Storage,2022,,2030,,Planned,2,16.4,16.4,Storage,Dedicated storage,Norne carbon storage hub,Europe
Havstjerne CO2 storage (Altera Stella Maris CCS Project Phase 1),772,Norway,"Altera (50%), Wintershall Dea (50%",T&S,2020,,,,Planned,1,7,7,T&S,Dedicated storage,Altera Stella Maris CCS/ Havstjerne ,Europe
Haynesville Shale natural gas (LA),709,United States,"CapturePoint Solutions, Energy transfer",Capture,2022,2022,2024,,Under construction,,2,2,Natural gas processing/LNG,Dedicated storage,Central Louisiana Regional Carbon Storage (CENLA) Hub (LA),North America
Heartland Greenway Storage (HGSS) NVC-1 (IL),870,United States,Heartland Greenway Carbon Storage LLC (Navigator Carbon Ventures),Storage,2022,,,,Planned,,,,Storage,Unknown/unspecified,,North America
Heartland Greenway Storage: Compass (IL),872,United States,Heartland Greenway Carbon Storage LLC,Storage,2023,,,,Suspended/cancelled/decommissioned,,,,Storage,Unknown/unspecified,,North America
Heartland Greenway Storage: Vervain (IL),871,United States,Heartland Greenway Carbon Storage LLC,Storage,2023,,,,Suspended/cancelled/decommissioned,,,,Storage,Unknown/unspecified,,North America
Heartland hydrogen hub (ALB),385,Canada,"Suncor, ATCO",Capture,2021,2024,2028,,Planned,,2,2,Other fuel transformation,Dedicated storage,Atlas Carbon Sequestration Hub (alb),North America
Heidelberg Materials Brevik cement,201,Norway,"Heidelberg Materials (Norcem), Aker CC (tech)",Capture,2016,2020,2025,,Under construction,,0.4,0.4,Cement,Dedicated storage,Northern Lights,Europe
Heidelberg Materials CBR Antoing Cement Plant (Anthemis),660,Belgium,Heidelberg Materials,Capture,2023,,2029,,Planned,,0.8,0.8,Cement,Dedicated storage,Fluxys Tournai-Zeebrugge,Europe
Heidelberg Materials LEILAC 2,202,Germany,"Heidelberg Materials, Calix",Capture,2021,2022,2025,,Under construction,,0.1,0.1,Cement,Unknown/unspecified,,Europe
Heidelberg Materials Mitchell plant (IN),525,United States,Heidelberg Materials,Capture,2022,,2030,,Planned,,2,2,Cement,Dedicated storage,Mitchell CarbonSAFE (IL),North America
HeidelbergMaterials Edmonton Cement (ALB),258,Canada,"Heidelberg Materials, Government of Canada (MoU), Enbridge, Technip (FEED)",Capture,2019,2024,2027,,Planned,1,1,1,Cement,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Heron Lake biorefinery (MN),203,United States,"Heron Lake BioEnergy, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.16 - 0.19,0.186,Biofuels,Dedicated storage,Midwest carbon express,North America
HIF Cabo Negro eFuels Facility,1038,Chile,HIF Chile,CCU,2021,,,,Planned,,0.23,0.23,Biofuels,Use,,Central and South America
HIF Paysandú eFuels Facility Alur bioethanol plant,1039,Uruguay,"HIF Urugay, Alur",CCU,2023,,2025,,Planned,,0.15,0.15,Biofuels,Use,,Central and South America
HIF Tasmania eFuels Facility (TAS),753,Australia,"HIF Asia Pacific, Technip (FEED), Forico (biomass supply)",CCU,2022,2025,2028,,Planned,,0.3,0.3,Power and heat,Use,,Australia and New Zealand
HIF USA eFuels Matagorda County (TX),205,United States,"HIF USA, Baker Hughes (DAC), Topsoe (e-fuel tech), Bechtel (FEED), Siemens energy (electrolysers), (Still involved? Honeywell (e-methanol to e-SAF tech), Johnson Matthey (e-methanol tech))",CCU,2021,2024,2027,,Planned,,2,2,DAC,Use,,North America
Highwater Ethanol Lamberton biorefinery (MN),206,United States,"Highwater Ethanol Lamberton, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.13 - 0.16,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
Hinton Bioenergy CCS project (ALB),609,Canada," Vault 44.01 Ltd, West Fraser, TorchLight Bioresources",Capture,2022,2025,2027,,Planned,,1.26,1.26,Other industry,Dedicated storage,Rocky Mountain Carbon Vault (ALB),North America
HOFOR Amagerværket,1080,Denmark,Hofor,Capture,2021,,2030,,Planned,,0.9,0.9,Power and heat,Unknown/unspecified,,Europe
Homeland Energy Solutions Lawler biorefinery (IA),208,United States,"Homeland Energy Solutions, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.49 - 0.57,0.572,Biofuels,Dedicated storage,Midwest carbon express,North America
Hoosier #1 (Cardinal ethanol facility) (IN) ,663,United States,"One Carbon Partnership (Cardinal Ethanol, Vault 44.01 joint venture)",Full chain,2022,,,,Planned,,0.4,0.4,Biofuels,Dedicated storage,,North America
Horizon mine tailings (ALB),209,Canada,Canadian Natural Resources Ltd,CCU,,,2017,,Operational,,0.4,0.4,Other fuel transformation,Use,,North America
Hover cement works Hannover phase 1,555,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021,,2024,,Planned,1,0.19 - 0.18,0.184,Cement,Unknown/unspecified,,Europe
Hover cement works Hannover phase 2,556,Germany,"Holcim Group, Cool Planet Technologies",Capture,2021,,2028,,Planned,2,0.8,0.8,Cement,Unknown/unspecified,,Europe
Huaneng Zhengning coal power plant (Gansu),593,People's Republic of China,China Huaneng Group,CCU,2021,2022,2024,,Under construction,,1.5,1.5,Power and heat,Use,,Other Asia Pacific
Humberside CCS with Shell and Esso,856,United Kingdom,"Shell (50%), Esso (ExxonMobil) (50%)",Storage,2023,,,,Planned,,,,Storage,Dedicated storage,,Europe
Husker Ag Plainview biorefinery (NE),214,United States,"Husker Ag, Summit Carbon Solutions",Capture,2021,2024,2025,,Planned,,0.27 - 0.32,0.315,Biofuels,Dedicated storage,Midwest carbon express,North America
H-vision plant 1,215,Netherlands,bp,Capture,2018,2026,2030,,Planned,1,1.3,1.3,Other fuel transformation,Dedicated storage,,Europe
